Name,Online,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Customer_2012,No,Yes,1.6,2280,2273,Quick Bites
Customer_2013,No,No,1.2,2696,2087,Cafe
Customer_2014,Yes,Yes,2.3,179,537,Delivery
Customer_2015,No,Yes,3,4955,2680,Dining
Customer_2016,No,No,1.2,2451,1891,Buffet
Customer_2017,No,No,2.2,2474,919,Buffet
Customer_2018,No,No,3.9,1434,1134,Cafe
Customer_2019,Yes,No,4.2,262,2089,Cafe
Customer_2020,Yes,No,4.6,2304,203,Cafe
Customer_2021,No,No,2.1,2306,254,Dining
Customer_2022,Yes,No,3.2,799,1530,Buffet
Customer_2023,Yes,No,2.2,193,1655,Cafe
Customer_2024,Yes,Yes,4.1,4590,544,Cafe
Customer_2025,No,No,1.4,479,2536,Quick Bites
Customer_2026,Yes,No,2,4263,1403,Delivery
Customer_2027,No,Yes,1.7,1935,2812,Buffet
Customer_2028,Yes,Yes,4.3,4928,729,Buffet
Customer_2029,No,No,2.1,4554,1158,Delivery
Customer_2030,Yes,Yes,3.9,3525,2982,Delivery
Customer_2031,No,No,1.1,3912,2405,Dining
Customer_2032,Yes,Yes,1.5,209,991,Delivery
Customer_2033,Yes,Yes,1.2,4793,1545,Dining
Customer_2034,Yes,No,2.9,3873,687,Cafe
Customer_2035,No,No,4.4,3544,2025,Cafe
Customer_2036,Yes,Yes,4.2,1877,1375,Dining
Customer_2037,Yes,No,1.8,2245,2618,Buffet
Customer_2038,No,No,1.3,888,2672,Buffet
Customer_2039,No,Yes,3.9,3136,2484,Buffet
Customer_2040,No,Yes,1.8,3392,2262,Delivery
Customer_2041,No,Yes,4.8,3266,473,Delivery
Customer_2042,Yes,Yes,4.5,932,606,Quick Bites
Customer_2043,Yes,No,3.6,3123,1735,Quick Bites
Customer_2044,No,Yes,1.1,163,1363,Delivery
Customer_2045,Yes,No,2.4,1780,433,Dining
Customer_2046,Yes,Yes,1.9,2882,1999,Buffet
Customer_2047,No,Yes,1.4,3411,1211,Buffet
Customer_2048,No,Yes,4.5,3210,1335,Dining
Customer_2049,Yes,No,1.5,817,2003,Cafe
Customer_2050,Yes,No,2.8,786,2389,Buffet
Customer_2051,Yes,No,1.3,3524,1610,Cafe
Customer_2052,No,Yes,1.7,2888,553,Cafe
Customer_2053,No,No,3.5,3985,400,Cafe
Customer_2054,Yes,Yes,2.9,3678,201,Delivery
Customer_2055,Yes,No,3.7,2106,932,Delivery
Customer_2056,No,Yes,4.2,4645,1965,Buffet
Customer_2057,Yes,No,2.6,2928,1304,Delivery
Customer_2058,Yes,No,2.7,4332,1319,Dining
Customer_2059,Yes,Yes,3.7,4391,548,Cafe
Customer_2060,No,No,3.1,2134,402,Quick Bites
Customer_2061,No,No,1.5,3842,1087,Quick Bites
Customer_2062,Yes,Yes,4.1,3717,780,Buffet
Customer_2063,No,Yes,2.3,1728,1786,Buffet
Customer_2064,No,No,4.7,1398,2609,Cafe
Customer_2065,No,Yes,4.5,2495,986,Quick Bites
Customer_2066,No,Yes,4.8,4709,785,Dining
Customer_2067,No,Yes,3.1,2542,2650,Delivery
Customer_2068,Yes,Yes,2.1,267,2970,Cafe
Customer_2069,No,No,1,2854,1028,Quick Bites
Customer_2070,No,Yes,1.3,2287,2048,Delivery
Customer_2071,Yes,No,3.1,4578,2212,Buffet
Customer_2072,Yes,No,4.8,3112,2051,Dining
Customer_2073,No,No,4.8,1268,1660,Dining
Customer_2074,No,Yes,3.2,1868,453,Quick Bites
Customer_2075,No,No,4,1873,1276,Dining
Customer_2076,No,No,4,4107,1643,Dining
Customer_2077,No,Yes,3.9,2851,847,Dining
Customer_2078,Yes,Yes,1.2,2273,1924,Quick Bites
Customer_2079,Yes,Yes,4.8,4275,1820,Dining
Customer_2080,Yes,Yes,1.1,1922,202,Quick Bites
Customer_2081,Yes,No,4.3,2923,527,Delivery
Customer_2082,No,No,2.8,2588,662,Delivery
Customer_2083,No,Yes,4.6,2638,2258,Dining
Customer_2084,Yes,No,4.4,3429,1113,Cafe
Customer_2085,Yes,Yes,2.6,4555,1768,Buffet
Customer_2086,Yes,Yes,1.1,2709,862,Quick Bites
Customer_2087,Yes,Yes,3.8,1122,2928,Cafe
Customer_2088,Yes,Yes,3.2,3191,2614,Quick Bites
Customer_2089,Yes,Yes,1.3,4705,1044,Delivery
Customer_2090,No,Yes,3.1,1138,1619,Cafe
Customer_2091,Yes,No,2.1,343,1083,Dining
Customer_2092,Yes,No,2.3,3191,1397,Dining
Customer_2093,Yes,No,1.2,270,788,Buffet
Customer_2094,No,No,2.6,913,1675,Quick Bites
Customer_2095,No,No,3.2,1856,2296,Delivery
Customer_2096,Yes,Yes,2.8,1558,2045,Cafe
Customer_2097,No,Yes,2.8,4702,2952,Buffet
Customer_2098,No,Yes,2.4,3517,2775,Dining
Customer_2099,No,No,4,4902,2109,Dining
Customer_2100,Yes,No,2.5,3758,909,Quick Bites
Customer_2101,Yes,No,1.9,3042,2189,Delivery
Customer_2102,Yes,Yes,1.6,1908,717,Quick Bites
Customer_2103,Yes,No,4.2,3570,1089,Delivery
Customer_2104,No,Yes,3.6,2615,1477,Quick Bites
Customer_2105,No,Yes,2.6,1538,2943,Quick Bites
Customer_2106,Yes,Yes,4.1,2145,985,Delivery
Customer_2107,No,Yes,3.4,1204,2489,Quick Bites
Customer_2108,No,Yes,1.8,327,2582,Delivery
Customer_2109,No,No,3.3,1189,2799,Cafe
Customer_2110,Yes,Yes,2.1,1600,2626,Quick Bites
Customer_2111,No,No,2.9,4087,2819,Buffet
Customer_2112,Yes,No,2.7,3002,2315,Cafe
Customer_2113,No,Yes,3.7,4728,1561,Quick Bites
Customer_2114,No,No,4.9,2110,1458,Cafe
Customer_2115,No,Yes,2.1,3515,2518,Buffet
Customer_2116,Yes,Yes,1.5,3428,2196,Quick Bites
Customer_2117,Yes,No,4.6,3445,456,Quick Bites
Customer_2118,Yes,Yes,3.1,3148,1014,Cafe
Customer_2119,No,No,3.7,2291,2755,Cafe
Customer_2120,No,Yes,1.7,597,1461,Cafe
Customer_2121,No,Yes,3.7,1226,1990,Quick Bites
Customer_2122,No,No,2.8,2127,2654,Delivery
Customer_2123,Yes,Yes,1.8,854,1357,Buffet
Customer_2124,No,Yes,2.7,269,368,Cafe
Customer_2125,No,No,1.4,1320,2977,Dining
Customer_2126,Yes,No,3.2,4496,1054,Dining
Customer_2127,No,No,2.7,3987,2240,Cafe
Customer_2128,Yes,Yes,1.2,133,746,Delivery
Customer_2129,No,Yes,4,1710,462,Cafe
Customer_2130,No,Yes,2.8,3699,1050,Delivery
Customer_2131,Yes,No,4.7,1580,2998,Dining
Customer_2132,Yes,Yes,1.1,1216,2149,Delivery
Customer_2133,Yes,Yes,3.5,389,588,Cafe
Customer_2134,No,No,1,276,1837,Dining
Customer_2135,Yes,Yes,4.6,134,2943,Buffet
Customer_2136,Yes,Yes,1.7,2197,368,Delivery
Customer_2137,Yes,No,1.9,3765,549,Cafe
Customer_2138,Yes,Yes,1.9,926,2978,Quick Bites
Customer_2139,No,Yes,2.6,2012,2388,Quick Bites
Customer_2140,No,Yes,3.2,1465,713,Buffet
Customer_2141,Yes,Yes,2.1,1168,288,Cafe
Customer_2142,No,Yes,3.9,3611,1321,Cafe
Customer_2143,No,No,4.9,3140,1384,Dining
Customer_2144,No,Yes,1.8,4146,2508,Buffet
Customer_2145,No,No,4.1,384,2543,Quick Bites
Customer_2146,No,No,3,2502,1450,Dining
Customer_2147,No,Yes,2,2100,1406,Delivery
Customer_2148,No,No,4.4,4652,2611,Delivery
Customer_2149,Yes,No,1.6,4238,640,Dining
Customer_2150,Yes,No,3.1,3741,2755,Quick Bites
Customer_2151,No,No,1.9,3724,829,Dining
Customer_2152,No,Yes,3.4,4099,582,Quick Bites
Customer_2153,Yes,No,4,4176,2024,Delivery
Customer_2154,Yes,No,4.9,1973,2286,Delivery
Customer_2155,No,Yes,2.6,4971,2168,Dining
Customer_2156,Yes,No,1.7,1208,429,Delivery
Customer_2157,Yes,Yes,3.1,106,678,Quick Bites
Customer_2158,No,Yes,2.4,3081,1614,Buffet
Customer_2159,No,No,1.4,386,1380,Quick Bites
Customer_2160,Yes,No,1.7,2831,377,Buffet
Customer_2161,Yes,Yes,2.8,1562,2809,Buffet
Customer_2162,No,Yes,2.3,4695,2920,Dining
Customer_2163,Yes,Yes,1.2,4283,609,Delivery
Customer_2164,Yes,Yes,4.4,1311,2709,Delivery
Customer_2165,Yes,No,3.5,3246,1294,Delivery
Customer_2166,No,Yes,1.5,1895,2969,Buffet
Customer_2167,Yes,Yes,3.8,3064,394,Cafe
Customer_2168,Yes,No,1.2,4527,2812,Dining
Customer_2169,Yes,Yes,1.9,895,2641,Dining
Customer_2170,No,Yes,4.2,3389,2392,Delivery
Customer_2171,Yes,No,3.7,2466,1686,Buffet
Customer_2172,Yes,Yes,1.9,1082,2948,Quick Bites
Customer_2173,No,Yes,2.9,1621,2695,Quick Bites
Customer_2174,Yes,Yes,1.6,3745,1400,Quick Bites
Customer_2175,No,No,1,3244,2180,Buffet
Customer_2176,No,Yes,4.1,920,453,Quick Bites
Customer_2177,No,Yes,4,2191,2047,Cafe
Customer_2178,No,Yes,4.9,1151,1664,Quick Bites
Customer_2179,No,Yes,4.2,3904,495,Dining
Customer_2180,Yes,No,3.6,3951,2970,Buffet
Customer_2181,Yes,No,3.5,561,665,Cafe
Customer_2182,No,Yes,2,3001,770,Cafe
Customer_2183,Yes,Yes,2.5,4759,2351,Delivery
Customer_2184,No,No,2.1,3928,2580,Dining
Customer_2185,No,No,1.1,4324,2715,Delivery
Customer_2186,Yes,Yes,2.9,4227,1071,Buffet
Customer_2187,No,No,1.6,3266,1560,Quick Bites
Customer_2188,Yes,Yes,1.5,1229,1523,Delivery
Customer_2189,No,No,1.9,3201,2256,Quick Bites
Customer_2190,No,Yes,1.9,1548,1438,Buffet
Customer_2191,No,Yes,2.7,2120,407,Dining
Customer_2192,Yes,Yes,4.1,1156,1418,Quick Bites
Customer_2193,No,Yes,1.3,277,1118,Cafe
Customer_2194,No,Yes,1.3,2190,2754,Dining
Customer_2195,No,Yes,4.4,3232,1780,Delivery
Customer_2196,No,No,2.6,3827,2500,Buffet
Customer_2197,No,No,2.2,31,1512,Buffet
Customer_2198,No,Yes,4.9,3093,558,Buffet
Customer_2199,Yes,No,2,215,2693,Quick Bites
Customer_2200,Yes,Yes,3.8,207,1395,Delivery
Customer_2201,Yes,Yes,1.4,2612,1582,Delivery
Customer_2202,Yes,No,3.8,1346,361,Cafe
Customer_2203,No,Yes,5,3199,1261,Cafe
Customer_2204,No,Yes,2.4,4382,351,Quick Bites
Customer_2205,No,No,4.6,4172,1313,Buffet
Customer_2206,Yes,No,4.8,1541,2856,Cafe
Customer_2207,Yes,Yes,1.1,4839,613,Quick Bites
Customer_2208,Yes,Yes,2.7,2510,2936,Delivery
Customer_2209,No,No,1.1,1674,1501,Dining
Customer_2210,Yes,No,3.4,3897,445,Quick Bites
Customer_2211,Yes,No,1.7,3535,1067,Delivery
Customer_2212,No,Yes,2.3,727,2577,Cafe
Customer_2213,No,No,2.6,4866,356,Cafe
Customer_2214,No,Yes,2,3600,2824,Quick Bites
Customer_2215,No,Yes,1.7,3652,551,Delivery
Customer_2216,Yes,No,4.8,850,2605,Delivery
Customer_2217,Yes,Yes,1.7,4155,299,Delivery
Customer_2218,No,No,3.2,1082,1050,Delivery
Customer_2219,No,Yes,1.4,2190,1195,Dining
Customer_2220,Yes,Yes,1.7,2986,2722,Cafe
Customer_2221,No,Yes,3,4656,567,Dining
Customer_2222,Yes,Yes,1.2,4529,2690,Buffet
Customer_2223,Yes,No,1.3,2731,2776,Dining
Customer_2224,Yes,No,4.6,790,1261,Buffet
Customer_2225,Yes,No,3,2886,1929,Dining
Customer_2226,Yes,Yes,2.4,1361,2818,Buffet
Customer_2227,Yes,Yes,3.8,1925,1976,Dining
Customer_2228,No,No,1.1,2942,251,Dining
Customer_2229,Yes,Yes,4.6,3916,366,Cafe
Customer_2230,Yes,Yes,1.7,1137,2577,Dining
Customer_2231,Yes,Yes,1.5,2231,354,Quick Bites
Customer_2232,Yes,Yes,3.4,3026,2257,Dining
Customer_2233,Yes,Yes,4.6,4953,1029,Dining
Customer_2234,No,No,1.4,1825,2687,Dining
Customer_2235,Yes,Yes,1.8,4246,692,Quick Bites
Customer_2236,No,Yes,3,3962,2452,Quick Bites
Customer_2237,No,Yes,2.4,4346,2304,Delivery
Customer_2238,No,Yes,2.1,2524,1022,Buffet
Customer_2239,No,No,2.4,167,2248,Dining
Customer_2240,Yes,No,3.2,2551,1791,Quick Bites
Customer_2241,No,No,5,67,265,Delivery
Customer_2242,No,No,2.9,4737,655,Dining
Customer_2243,Yes,Yes,3.4,4935,1802,Dining
Customer_2244,Yes,Yes,2.1,117,1806,Dining
Customer_2245,Yes,No,3.6,4617,1947,Quick Bites
Customer_2246,No,Yes,3.9,4597,1470,Buffet
Customer_2247,No,No,2.3,4767,2553,Dining
Customer_2248,Yes,No,4,188,1856,Cafe
Customer_2249,No,No,1.4,2062,1510,Buffet
Customer_2250,Yes,No,4,4422,345,Dining
Customer_2251,Yes,Yes,2.2,319,1975,Dining
Customer_2252,No,No,3.4,4045,1563,Dining
Customer_2253,No,Yes,1.9,2927,2850,Dining
Customer_2254,No,No,4.5,1675,2115,Dining
Customer_2255,No,Yes,1.9,1279,1475,Quick Bites
Customer_2256,Yes,No,1.3,1512,1064,Buffet
Customer_2257,No,No,1.8,3048,509,Buffet
Customer_2258,No,No,3,406,2892,Dining
Customer_2259,Yes,Yes,1.6,4685,262,Dining
Customer_2260,No,No,1.6,3324,1737,Cafe
Customer_2261,No,Yes,1.5,3650,947,Dining
Customer_2262,Yes,No,4.4,198,386,Dining
Customer_2263,No,No,4.9,4213,2514,Dining
Customer_2264,No,No,4.1,3482,853,Dining
Customer_2265,No,No,1.2,4189,439,Buffet
Customer_2266,No,No,2,153,1587,Quick Bites
Customer_2267,Yes,No,2.6,3900,718,Cafe
Customer_2268,Yes,Yes,2.6,2334,907,Quick Bites
Customer_2269,Yes,No,2.8,2038,2727,Quick Bites
Customer_2270,No,Yes,1.6,1562,851,Dining
Customer_2271,No,Yes,4.5,4311,1722,Cafe
Customer_2272,No,Yes,1.6,1961,1712,Dining
Customer_2273,Yes,No,3,2646,2622,Quick Bites
Customer_2274,Yes,No,4.4,3299,779,Cafe
Customer_2275,No,Yes,4.8,335,2023,Delivery
Customer_2276,Yes,No,3.3,2821,2438,Quick Bites
Customer_2277,No,No,2,4496,1009,Dining
Customer_2278,Yes,No,4.9,3577,995,Delivery
Customer_2279,No,No,1.1,2735,1841,Buffet
Customer_2280,No,Yes,4.5,2759,488,Quick Bites
Customer_2281,Yes,No,2.4,906,1511,Cafe
Customer_2282,Yes,Yes,4.9,2906,2082,Quick Bites
Customer_2283,Yes,Yes,4.9,2848,2239,Buffet
Customer_2284,Yes,Yes,4.3,4359,983,Buffet
Customer_2285,No,Yes,1.7,1541,1312,Quick Bites
Customer_2286,No,No,3.2,4388,765,Cafe
Customer_2287,No,No,1.6,3643,2182,Quick Bites
Customer_2288,Yes,Yes,2.8,3224,2778,Dining
Customer_2289,Yes,Yes,2.3,4468,1212,Delivery
Customer_2290,No,No,3,4039,1133,Quick Bites
Customer_2291,Yes,Yes,3.1,4124,1221,Quick Bites
Customer_2292,No,Yes,4.3,3470,2452,Delivery
Customer_2293,Yes,No,2.9,247,760,Dining
Customer_2294,No,Yes,4.6,2418,438,Cafe
Customer_2295,No,No,1.2,2464,2431,Delivery
Customer_2296,Yes,No,4.7,3350,2556,Dining
Customer_2297,No,No,3.7,3387,512,Cafe
Customer_2298,Yes,No,1.5,94,1920,Buffet
Customer_2299,Yes,Yes,2.3,4921,2595,Buffet
Customer_2300,Yes,No,4.1,1691,1669,Cafe
Customer_2301,Yes,No,2.8,3582,2822,Buffet
Customer_2302,Yes,No,1.6,4022,982,Buffet
Customer_2303,Yes,No,4.4,1376,1974,Buffet
Customer_2304,Yes,Yes,2.8,3587,2242,Cafe
Customer_2305,Yes,No,2.9,4550,2869,Quick Bites
Customer_2306,Yes,No,3.4,3552,1247,Buffet
Customer_2307,Yes,Yes,4.3,3936,1209,Buffet
Customer_2308,Yes,No,1.1,2757,2272,Delivery
Customer_2309,Yes,No,2.3,4025,1085,Dining
Customer_2310,No,No,4.6,4713,1083,Cafe
Customer_2311,Yes,Yes,2.3,1744,509,Delivery
Customer_2312,No,No,3.6,3524,767,Delivery
Customer_2313,No,No,3.3,93,596,Quick Bites
Customer_2314,No,No,4.3,972,2926,Quick Bites
Customer_2315,No,No,2.5,1011,1942,Cafe
Customer_2316,No,No,2.1,4114,211,Cafe
Customer_2317,No,Yes,2.5,4025,2807,Buffet
Customer_2318,Yes,Yes,2.3,4974,430,Quick Bites
Customer_2319,Yes,Yes,3.5,1392,629,Cafe
Customer_2320,Yes,Yes,3.1,2313,291,Delivery
Customer_2321,No,No,2.7,4624,2295,Quick Bites
Customer_2322,No,Yes,1.2,2298,2713,Cafe
Customer_2323,Yes,Yes,3.1,1232,693,Quick Bites
Customer_2324,No,No,1.2,141,682,Dining
Customer_2325,No,No,3.4,2648,2475,Dining
Customer_2326,Yes,No,3,1536,2852,Dining
Customer_2327,No,No,2.9,1620,207,Quick Bites
Customer_2328,No,Yes,2.5,1537,254,Delivery
Customer_2329,No,Yes,1.3,182,2387,Buffet
Customer_2330,No,Yes,4.7,3367,869,Buffet
Customer_2331,Yes,No,4,614,1342,Dining
Customer_2332,No,No,4.9,1167,1991,Buffet
Customer_2333,Yes,Yes,1.5,3004,959,Delivery
Customer_2334,No,No,4.7,2257,1351,Quick Bites
Customer_2335,Yes,Yes,2,398,328,Dining
Customer_2336,No,Yes,4.8,4670,2054,Dining
Customer_2337,No,No,2.4,2965,842,Quick Bites
Customer_2338,Yes,No,4.3,4694,2019,Quick Bites
Customer_2339,Yes,Yes,2.7,2696,1438,Dining
Customer_2340,No,No,3.4,577,2847,Cafe
Customer_2341,No,Yes,4.3,355,2080,Quick Bites
Customer_2342,Yes,Yes,1.3,3344,2610,Cafe
Customer_2343,Yes,No,4.9,4154,898,Cafe
Customer_2344,Yes,Yes,1.4,4293,279,Dining
Customer_2345,Yes,Yes,1.5,689,1764,Delivery
Customer_2346,No,No,1.7,4731,1582,Delivery
Customer_2347,No,No,1.6,4216,1932,Dining
Customer_2348,Yes,Yes,2.3,615,809,Buffet
Customer_2349,No,Yes,3.8,2580,1288,Buffet
Customer_2350,Yes,Yes,4.9,3406,1400,Quick Bites
Customer_2351,No,No,2.2,4090,830,Buffet
Customer_2352,Yes,No,2.2,4445,2438,Buffet
Customer_2353,No,Yes,2.6,2148,2205,Dining
Customer_2354,No,No,4.6,20,2964,Cafe
Customer_2355,Yes,No,4.4,3254,1047,Cafe
Customer_2356,Yes,Yes,3.2,1775,2499,Cafe
Customer_2357,Yes,Yes,2.2,3426,1820,Buffet
Customer_2358,No,No,1.3,4582,2714,Quick Bites
Customer_2359,No,Yes,3.1,4453,1285,Cafe
Customer_2360,No,Yes,1.6,4856,1500,Dining
Customer_2361,Yes,Yes,2,1725,2068,Dining
Customer_2362,Yes,No,3.8,3259,761,Cafe
Customer_2363,No,Yes,2.2,3340,2393,Quick Bites
Customer_2364,No,Yes,1.2,4030,909,Quick Bites
Customer_2365,No,Yes,1.8,2192,2174,Dining
Customer_2366,Yes,Yes,3.9,1964,2318,Cafe
Customer_2367,No,No,2.2,3119,2389,Cafe
Customer_2368,Yes,No,4.2,2340,2897,Delivery
Customer_2369,No,Yes,1.4,870,1008,Cafe
Customer_2370,Yes,No,1.4,66,1857,Buffet
Customer_2371,No,Yes,4.3,4687,2438,Delivery
Customer_2372,No,No,4.5,178,2483,Buffet
Customer_2373,No,No,1.7,1400,2953,Delivery
Customer_2374,Yes,Yes,4.7,3500,2943,Cafe
Customer_2375,Yes,No,4,2356,1233,Dining
Customer_2376,No,No,2,3193,2215,Delivery
Customer_2377,Yes,Yes,1.4,3586,2293,Quick Bites
Customer_2378,Yes,No,2.9,1574,1922,Cafe
Customer_2379,Yes,No,2.3,1136,1682,Cafe
Customer_2380,Yes,No,1.3,1052,573,Cafe
Customer_2381,No,Yes,2.1,4291,753,Dining
Customer_2382,No,Yes,2,3665,251,Buffet
Customer_2383,No,Yes,2.6,1232,2881,Dining
Customer_2384,No,No,3,2532,489,Dining
Customer_2385,No,No,2,83,1314,Dining
Customer_2386,No,No,1.5,3179,2565,Cafe
Customer_2387,No,No,1.5,1661,2586,Delivery
Customer_2388,No,Yes,4.5,2999,2299,Cafe
Customer_2389,No,No,2.1,3696,208,Cafe
Customer_2390,Yes,Yes,4.4,1021,515,Cafe
Customer_2391,No,No,1.4,771,1209,Quick Bites
Customer_2392,Yes,Yes,4.3,3338,735,Buffet
Customer_2393,Yes,Yes,4.7,1149,969,Cafe
Customer_2394,Yes,No,4.6,3636,914,Delivery
Customer_2395,No,Yes,4,2646,1821,Quick Bites
Customer_2396,Yes,No,3.3,3590,1537,Delivery
Customer_2397,No,Yes,2,2375,975,Cafe
Customer_2398,No,No,4.1,128,2495,Delivery
Customer_2399,No,Yes,3,2359,1463,Dining
Customer_2400,Yes,Yes,4.3,4562,1289,Dining
Customer_2401,No,Yes,2.5,4837,743,Dining
Customer_2402,Yes,Yes,1.5,3115,1573,Dining
Customer_2403,No,Yes,4.5,4159,2045,Delivery
Customer_2404,No,Yes,4.8,4117,2289,Dining
Customer_2405,No,Yes,1.4,318,843,Delivery
Customer_2406,Yes,No,4.3,4573,998,Buffet
Customer_2407,Yes,Yes,1.1,3734,1786,Dining
Customer_2408,Yes,No,1.7,2807,881,Delivery
Customer_2409,Yes,Yes,1.4,1478,2458,Buffet
Customer_2410,Yes,Yes,1,2966,2540,Delivery
Customer_2411,Yes,No,3.8,1297,446,Buffet
Customer_2412,No,No,3.1,3052,2591,Dining
Customer_2413,No,Yes,4.5,3682,1841,Cafe
Customer_2414,No,Yes,1.1,2365,789,Quick Bites
Customer_2415,Yes,No,4.3,1243,2107,Dining
Customer_2416,No,No,3.8,1550,1696,Buffet
Customer_2417,No,Yes,1.2,2125,493,Quick Bites
Customer_2418,No,No,2.7,2407,1459,Cafe
Customer_2419,No,No,3.3,4014,1212,Buffet
Customer_2420,No,No,2.9,4784,2213,Dining
Customer_2421,Yes,Yes,4.2,3866,1084,Cafe
Customer_2422,No,No,4.5,2007,327,Delivery
Customer_2423,No,No,3.1,1745,288,Buffet
Customer_2424,No,No,1.7,534,2553,Cafe
Customer_2425,Yes,Yes,4.7,4731,2920,Buffet
Customer_2426,Yes,Yes,2.3,721,2767,Buffet
Customer_2427,Yes,Yes,2.7,3896,1360,Delivery
Customer_2428,Yes,No,4.6,4794,2181,Buffet
Customer_2429,No,No,4.3,1900,1349,Dining
Customer_2430,Yes,No,3.9,2471,2598,Cafe
Customer_2431,Yes,No,3.1,1642,2987,Buffet
Customer_2432,Yes,Yes,2.4,1916,2590,Quick Bites
Customer_2433,No,No,1.5,4256,1061,Dining
Customer_2434,Yes,No,1.3,17,1541,Dining
Customer_2435,No,No,2.9,2203,774,Dining
Customer_2436,Yes,Yes,2,1680,1390,Quick Bites
Customer_2437,Yes,No,5,3262,1470,Cafe
Customer_2438,No,No,3.1,143,1765,Quick Bites
Customer_2439,Yes,No,4.1,3529,2810,Dining
Customer_2440,No,Yes,4,4787,2378,Quick Bites
Customer_2441,Yes,Yes,3.1,628,418,Quick Bites
Customer_2442,No,No,4.9,3822,2778,Quick Bites
Customer_2443,Yes,No,1.9,433,2092,Delivery
Customer_2444,Yes,Yes,4.1,2605,1440,Delivery
Customer_2445,No,Yes,4.5,2920,1294,Buffet
Customer_2446,Yes,No,1.7,3870,2447,Buffet
Customer_2447,Yes,No,3.7,2904,564,Delivery
Customer_2448,No,Yes,2.7,1959,719,Dining
Customer_2449,Yes,Yes,3.4,894,2719,Delivery
Customer_2450,Yes,Yes,1.7,3740,671,Quick Bites
Customer_2451,Yes,No,2.7,4506,2865,Delivery
Customer_2452,No,No,3.2,1936,1193,Delivery
Customer_2453,No,No,3,690,1282,Dining
Customer_2454,Yes,Yes,2.9,546,1946,Dining
Customer_2455,No,No,3.1,2384,2337,Delivery
Customer_2456,Yes,Yes,4.6,3895,2104,Dining
Customer_2457,No,No,3.4,1023,2043,Buffet
Customer_2458,No,Yes,4.6,3400,2210,Quick Bites
Customer_2459,Yes,Yes,3.8,4300,1360,Quick Bites
Customer_2460,Yes,No,4.1,3833,1413,Cafe
Customer_2461,No,Yes,2,3617,338,Delivery
Customer_2462,Yes,Yes,3.5,3515,686,Quick Bites
Customer_2463,No,No,3.9,1465,899,Buffet
Customer_2464,Yes,Yes,1.3,306,2959,Delivery
Customer_2465,Yes,No,4.9,804,624,Cafe
Customer_2466,Yes,No,4.3,1512,2135,Buffet
Customer_2467,No,No,4,1738,1467,Cafe
Customer_2468,No,No,3.2,1457,703,Buffet
Customer_2469,No,No,4,3447,201,Dining
Customer_2470,Yes,Yes,3.9,3919,583,Dining
Customer_2471,Yes,Yes,3.9,1573,1868,Cafe
Customer_2472,No,Yes,4.4,4046,2236,Quick Bites
Customer_2473,Yes,Yes,1.7,3646,708,Cafe
Customer_2474,No,No,2.1,4168,1999,Buffet
Customer_2475,No,No,3.1,65,411,Dining
Customer_2476,Yes,Yes,3.5,186,1891,Quick Bites
Customer_2477,No,Yes,2.2,3665,1276,Buffet
Customer_2478,No,No,2,673,2934,Delivery
Customer_2479,Yes,No,2.5,386,1388,Buffet
Customer_2480,No,Yes,1.2,3823,1034,Cafe
Customer_2481,No,Yes,3.8,1579,680,Buffet
Customer_2482,No,No,3.7,1806,1919,Cafe
Customer_2483,No,Yes,2,2373,701,Cafe
Customer_2484,No,No,2.3,1726,1611,Dining
Customer_2485,Yes,No,3.7,1213,820,Dining
Customer_2486,Yes,Yes,2.2,1967,292,Dining
Customer_2487,Yes,No,3.9,1591,2434,Buffet
Customer_2488,Yes,No,4.1,4903,2383,Quick Bites
Customer_2489,Yes,Yes,2.5,455,2372,Quick Bites
Customer_2490,No,No,4.8,4499,280,Delivery
Customer_2491,Yes,No,2.2,3826,2948,Cafe
Customer_2492,No,Yes,3.4,4789,868,Dining
Customer_2493,Yes,No,2.8,534,1207,Cafe
Customer_2494,No,Yes,3.3,2198,2462,Quick Bites
Customer_2495,Yes,No,3.3,2911,1044,Delivery
Customer_2496,No,Yes,2.2,1734,2899,Cafe
Customer_2497,Yes,No,2.5,2827,1622,Delivery
Customer_2498,No,Yes,4.9,845,1583,Delivery
Customer_2499,No,Yes,3.4,1240,1357,Quick Bites
Customer_2500,Yes,No,2.1,4240,862,Delivery
Customer_2501,Yes,No,1.3,3447,2123,Quick Bites
Customer_2502,Yes,No,3.4,1017,786,Buffet
Customer_2503,Yes,Yes,1.2,1319,2643,Dining
Customer_2504,No,Yes,4.1,447,943,Buffet
Customer_2505,Yes,No,1.8,1372,2994,Delivery
Customer_2506,No,No,4.6,1092,2944,Buffet
Customer_2507,No,Yes,3.3,4039,474,Buffet
Customer_2508,Yes,No,3.4,2103,1898,Delivery
Customer_2509,No,Yes,2.9,3314,870,Cafe
Customer_2510,Yes,Yes,4.8,4035,811,Dining
Customer_2511,No,Yes,4.7,3770,1281,Delivery
Customer_2512,No,No,2.7,966,1431,Delivery
Customer_2513,No,Yes,1.8,4688,1331,Cafe
Customer_2514,Yes,No,4.4,4567,219,Cafe
Customer_2515,Yes,No,2.1,342,1925,Delivery
Customer_2516,Yes,Yes,4.1,4063,766,Dining
Customer_2517,No,No,4.7,1607,1641,Delivery
Customer_2518,Yes,No,2.9,3444,1564,Delivery
Customer_2519,No,No,1.1,3802,2421,Delivery
